# Receiver Point (#),X(m),Y(m),Z(m),Distance (m),Strongest Power (dBm),Total Power (dBm),Total Power With Phase (dBm),Best SINR (dB),RSSI (dBm),RSRP (dBm),RSRQ (dB),Strongest power transmitter (Tx #)
329,1474.34,1090.01,2.0,656.0,-13.454,-10.71792,-6.515946,0.566923,-10.71792,-44.24581,-13.52789,8.0
330,1475.88,1088.73,2.0,658.0,-13.4653,-10.50856,-6.42251,0.107792,-10.50856,-44.25711,-13.74855,8.0
331,1477.42,1087.46,2.0,660.0,-13.4128,-10.49492,-6.92475,0.1868564,-10.49492,-44.20461,-13.70969,8.0
332,1478.96,1086.19,2.0,662.0,-13.9915,-10.76739,-7.90272,-0.4175908,-10.76739,-44.78331,-14.01593,8.0
333,1480.5,1084.92,2.0,664.0,-14.3293,-11.19244,-10.49813,-0.2495444,-11.19244,-45.12111,-13.92868,8.0
334,1482.05,1083.65,2.0,666.0,-14.2173,-11.28242,-12.14228,0.1521709,-11.28242,-45.00911,-13.72669,8.0
335,1483.59,1082.37,2.0,668.0,-14.6058,-11.52325,-15.87376,-0.1433238,-11.52325,-45.39761,-13.87437,8.0
336,1485.13,1081.1,2.0,670.0,-15.0508,-12.01416,-21.42366,-0.05252288,-12.01416,-45.84261,-13.82845,11.0
337,1486.67,1079.83,2.0,672.0,-14.5359,-11.80452,-31.82735,0.5770013,-11.80452,-45.32771,-13.52319,11.0
338,1488.21,1078.55,2.0,674.0,-14.7081,-11.82832,-23.05697,0.2650748,-11.82831,-45.49991,-13.6716,11.0
339,1489.75,1077.28,2.0,676.0,-14.1045,-11.69868,-16.1859,1.306914,-11.69868,-44.89631,-13.19763,11.0
340,1491.29,1076.0,2.0,678.0,-13.7633,-11.58718,-13.8654,1.867606,-11.58717,-44.55511,-12.96794,11.0
341,1492.83,1074.73,2.0,680.0,-13.6655,-11.56199,-11.68328,2.054279,-11.56199,-44.45731,-12.89532,11.0
342,1494.37,1073.45,2.0,682.0,-13.3992,-11.31719,-10.19558,2.110505,-11.31719,-44.19101,-12.87382,11.0
343,1495.9,1072.17,2.0,684.0,-13.2477,-11.01849,-8.74702,1.734168,-11.0185,-44.03951,-13.02102,11.0
344,1497.44,1070.89,2.0,686.0,-15.7489,-13.08265,-10.34769,0.7177098,-13.08265,-46.54071,-13.45807,8.0
345,1498.98,1069.61,2.0,688.0,-13.3479,-12.42124,-8.90856,6.237055,-12.42124,-44.13971,-11.71848,11.0
346,1500.51,1068.33,2.0,690.0,-13.2215,-10.70431,-6.684835,1.049459,-10.70431,-44.01331,-13.30901,11.0
347,1502.04,1067.05,2.0,692.0,-13.289,-10.98281,-6.962415,1.544884,-10.98281,-44.08081,-13.098,11.0
348,1503.58,1065.77,2.0,694.0,-13.3661,-11.10764,-7.332121,1.661668,-11.10764,-44.15791,-13.05027,11.0
349,1505.11,1064.48,2.0,696.0,-13.4319,-11.52611,-9.323035,2.589411,-11.52611,-44.22371,-12.6976,11.0
350,1506.64,1063.2,2.0,698.0,-13.319,-11.35805,-10.20352,2.43588,-11.35805,-44.11081,-12.75276,11.0
351,1508.17,1061.91,2.0,700.0,-13.3185,-11.38812,-12.17651,2.520533,-11.38812,-44.11031,-12.72219,11.0
352,1509.7,1060.62,2.0,702.0,-13.1868,-11.36466,-15.17178,2.829163,-11.36466,-43.97861,-12.61395,11.0
353,1511.23,1059.33,2.0,704.0,-13.1506,-11.04915,-18.92515,2.05963,-11.04915,-43.94241,-12.89327,11.0
354,1512.75,1058.04,2.0,706.0,-12.9465,-11.07114,-23.05292,2.675628,-11.07114,-43.73831,-12.66717,11.0
355,1514.28,1056.75,2.0,708.0,-12.7238,-11.05596,-18.0343,3.295738,-11.05596,-43.51561,-12.45965,11.0
356,1515.8,1055.45,2.0,710.0,-12.5665,-10.85761,-13.09444,3.168263,-10.85761,-43.35831,-12.50071,11.0
357,1517.32,1054.15,2.0,712.0,-12.523,-11.12131,-11.31437,4.191663,-11.12131,-43.31481,-12.1935,11.0
358,1518.84,1052.85,2.0,714.0,-12.5158,-11.34165,-9.738274,5.080317,-11.34165,-43.30761,-11.96596,11.0
359,1520.36,1051.55,2.0,716.0,-12.2208,-10.94651,-8.621316,4.67244,-10.94651,-43.01261,-12.0661,11.0
360,1521.87,1050.25,2.0,718.0,-12.0641,-10.70583,-7.607879,4.351147,-10.70583,-42.85591,-12.15009,11.0
361,1523.39,1048.94,2.0,720.0,-12.209,-10.4526,-8.190888,3.02385,-10.4526,-43.00081,-12.54821,11.0
362,1524.9,1047.63,2.0,722.0,-12.487,-9.991616,-8.929084,1.099194,-9.991616,-43.27881,-13.2872,11.0
363,1526.41,1046.32,2.0,724.0,-12.3402,-9.528133,-10.40344,0.4059425,-9.528131,-43.13201,-13.60388,11.0
364,1527.91,1045.01,2.0,726.0,-12.2247,-9.475096,-13.877,0.5380486,-9.475095,-43.01651,-13.54142,11.0
365,1529.42,1043.69,2.0,728.0,-11.5294,-8.940186,-19.12506,0.8874317,-8.940186,-42.32121,-13.38102,8.0
366,1530.92,1042.37,2.0,730.0,-11.2937,-8.809124,-28.33156,1.123963,-8.809124,-42.08551,-13.27639,8.0
