# Receiver Point (#),X(m),Y(m),Z(m),Distance (m),Strongest Power (dBm),Total Power (dBm),Total Power With Phase (dBm),Best SINR (dB),RSSI (dBm),RSRP (dBm),RSRQ (dB),Strongest power transmitter (Tx #)
56,1950.13,1935.91,2.0,110.0,-64.0693,-62.04144,-60.44274,2.138197,-61.99781,-94.86111,-12.8633,8.0
57,1949.97,1933.92,2.0,112.0,-55.9751,-54.81283,-59.09989,5.095455,-54.80454,-86.76692,-11.96238,12.0
58,1949.79,1931.92,2.0,114.0,-54.0293,-53.26257,-52.36181,7.106632,-53.25676,-84.82111,-11.56435,12.0
59,1949.6,1929.93,2.0,116.0,-54.1458,-53.2731,-52.72326,6.493655,-53.26728,-84.93762,-11.67033,12.0
60,1949.39,1927.94,2.0,118.0,-54.1521,-54.0482,-53.60217,15.87481,-54.04124,-84.94391,-10.90267,12.0
61,1949.16,1925.96,2.0,120.0,-72.9999,-69.66012,-69.39849,-1.084038,-69.41384,-103.7917,-14.37787,19.0
62,1948.91,1923.97,2.0,122.0,-77.5912,-74.62557,-77.64552,-1.277127,-73.89556,-108.383,-14.48745,8.0
63,1948.67,1921.99,2.0,124.0,-75.98841,-73.8402,-72.18011,0.5039856,-73.22279,-106.7802,-13.55743,12.0
64,1948.48,1920.0,2.0,126.0,-77.4044,-73.70909,-83.83989,-2.275754,-73.10883,-108.1962,-15.08738,19.0
65,1948.37,1918.0,2.0,128.0,-72.7584,-71.83354,-69.38882,4.480501,-71.43449,-103.5502,-12.11572,11.0
66,1948.32,1916.0,2.0,130.0,-75.3358,-70.66938,-74.62155,-3.312333,-70.36091,-106.1276,-15.7667,8.0
67,1948.17,1914.01,2.0,132.0,-71.5763,-70.04734,-70.63867,2.901432,-69.77879,-102.3681,-12.58932,11.0
68,1947.78,1912.05,2.0,134.0,-55.6471,-55.10893,-60.63301,8.721275,-55.10006,-86.43891,-11.33885,12.0
69,1947.21,1910.13,2.0,136.0,-67.389,-64.14829,-63.4295,-0.5825854,-64.07765,-98.18081,-14.10317,8.0
70,1946.55,1908.24,2.0,138.0,-41.4433,-41.43718,-41.44955,28.24765,-41.4368,-72.23511,-10.79831,8.0
71,1945.84,1906.37,2.0,140.0,-41.1798,-40.921,-39.52789,12.11224,-40.92066,-71.97161,-11.05095,8.0
72,1945.1,1904.52,2.0,142.0,-51.4056,-49.53516,-47.33609,2.682643,-49.5327,-82.19741,-12.66471,8.0
